name,freq
geo_loc_name,24014252
collection_date,23697702
isolation_source,16915243
isolate,14926099
sample name,14532563
INSDC center name,14431765
Submitter Id,14376720
ENA-CHECKLIST,14295165
host,14042343
INSDC status,13776097
study name,13200391
gap_accession,13199605
gap_sample_id,13199575
gap_subject_id,13199575
submitter handle,13199145
biospecimen repository,13199145
submitted sample id,13199123
submitted subject id,13199117
biospecimen repository sample id,13199115
sex,13064536
lat_lon,13048975
study design,12495997
geographic location (country and/or sea),12173524
collection date,11777814
gap_consent_code,11220611
gap_consent_short_name,11087799
INSDC last update,10370452
External Id,10368571
INSDC first public,9474563
ENA first public,9062191
scientific_name,8972534
tissue,8421374
analyte type,8091083
collected_by,8082296
strain,7444330
INSDC center alias,6865361
body site,6846076
host_disease,6268850
age,5992413
host scientific name,5980641
geographic location (region and locality),5804997
collecting institution,5693164
source_name,5692438
broker name,5546151
is tumor,5231623
ENA-LAST-UPDATE,5229723
sample capture status,5229662
ENA-FIRST-PUBLIC,5192072
host subject id,4777602
ENA last update,4734714
host health state,4704462
host common name,4670286
host sex,4545958
collector name,4461306
geographic location (longitude),4454015
geographic location (latitude),4453534
project name,4357432
env_broad_scale,3952427
common name,3906571
env_medium,3888006
env_local_scale,3887892
subject is affected,3318585
histological type,3289371
host_age,3222173
host_sex,3192373
dev_stage,2998784
environmental medium,2919943
broad-scale environmental context,2919602
sample derived from,2914227
local environmental context,2882079
purpose_of_sequencing,2826657
metagenomic source,2806766
assembly software,2744402
binning software,2733555
binning parameters,2733447
sample_type,2680175
treatment,2678466
completeness score,2658848
completeness software,2652741
assembly quality,2628046
contamination score,2616295
taxonomic identity marker,2602094
biomaterial_provider,2468961
molecular data type,2461150
collection_method,2337778
genotype,2326099
cultivar,2282241
cell type,2243758
collection_device,2146295
Isolate,2110794
ecotype,2080472
sequencing method,2067162
lineage/clade name,2037602
diagnostic_pcr_protocol_1,2036700
diagnostic_pcr_Ct_value_1,2036582
host_race,2008438
investigation type,1986620
depth,1694082
diagnostic_gene_name_1,1689613
sequenced_by,1621432
replicate,1548070
study disease,1520662
diagnostic_pcr_protocol_2,1511863
diagnostic_pcr_protocol_3,1511863
diagnostic_gene_name_2,1511786
diagnostic_gene_name_3,1511786
diagnostic_pcr_Ct_value_2,1511762
diagnostic_pcr_Ct_value_3,1511761
virus identifier,1443435
breed,1354682
sample_name,1287089
serotype (required for a seropositive sample),1265863
definition for seropositive sample,1264371
taxonomic classification,1211301
project_name,1187952
Sex,1185606
source_material_id,1168630
MAG coverage software,1153584
environment (biome),1076494
cell line,1068965
environment (feature),1067760
serovar,1050189
environment (material),1042375
number of contigs,1019474
GUNC clade separation score,1019328
GUNC contamination score,1019328
GUNC reference representation score,1019328
GUNC version,1019328
SPIRE genome cluster,1019328
SPIRE genome id,1019328
contig N50,1019328
derived from assembly,1019328
linked to SPIRE sample,1019328
linked to SPIRE study,1019328
linked to analysis project,1019328
taxonomic classification software,1019328
gisaid_virus_name,1007375
organism part,1002488
host_subject_id,990885
brain region,986070
isol_growth_condt,980312
ArrayExpress-SPECIES,948611
gap_parent_phs,870993
gender,842901
Sample Name,832934
elev,809119
source_type,785826
purpose_of_sampling,781732
cell_line,767993
isolate_name_alias,751278
env_material,742966
samp_collect_device,724780
Sampling Strategy,687063
isolation source,686844
disease,670416
env_biome,665061
developmental stage,665002
receipt date,644768
gisaid_accession,601945
specimen_voucher,583610
env_feature,575819
samp_size,558334
ref_biomaterial,552444
samp_mat_process,548924
metagenomic,547195
subject id,539615
environmental-sample,533517
cell_type,526728
metagenome-source,520220
sample-type,492282
elevation,462395
host age,454553
SUBJECT_ID,439887
individual,406097
identified_by,402653
host description,391182
sample type,388277
phenotype,385008
host_tissue_sampled,376758
num_replicons,368983
derived-from,365787
temp,358836
scientific name,350753
organism,348731
longitude,346186
latitude,345872
ArrayExpress-Species,343985
cemba_id,320568
disease state,319869
altitude,315895
collection_timestamp,296874
rel_to_oxygen,294870
