residual_name,freq,type,reason,residual_values(top15),cand1_ref,cand1_values,宏基因组相关,合并到(据字典),饼图分类,通用(meta-analysis)
INSDC center name,14431765,freetext/high-card,机构/中心名，与 center alias/collecting institution/broker name/GAL 同簇,"Wellcome Sanger Institute(656032) ; SC(585345) ; Robert Koch Institute(121803) ; University of California San Diego Microbiome Initiative(111896) ; UCSDMI(110620) ; EBI(94836) ; EMG(94730) ; IPK-Gatersleben(71134) ; PANGAEA Data Publisher for Earth and Environmental Science(60705) ; THE ROSLIN INSTITUTE(41317) ; Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit(38537) ; ETH ZURICH D-BSSE(29083) ; KI-BN(29058) ; Respiratory Virus Unit, Microbiology Services Colindale, Public Health England(28057) ; Pan Lab at OU(21536)",source name,Liver(22289) ; Brain(22282) ; spleen(18004) ; cell line(16596) ; Blood(12133) ; Cortex(12109) ; PBMC(11385) ; Hippocampus(10871) ; pancreatic islets(10299) ; Bone marrow(9996) ; blood(9356) ; bone marrow(9144) ; Kidney(9072) ; Bone Marrow(8739) ; striatum(8223),,独立键(仅自身),提交/数据库管理,否
Submitter Id,14376720,freetext/high-card,提交方样本序号(小整数)，弱挂,1(1036) ; 3(672) ; 4(633) ; 7(539) ; 8(526) ; 10(502) ; 11(493) ; 16(426) ; 15(423) ; 18(403) ; 19(387) ; 27(331) ; 29(320) ; 28(319) ; 30(319),submitter handle,Framingham_SHARe(715094) ; eMERGE(322447) ; WHI_SHARe(180745) ; TCGA(148921) ; NHLBI_ARIC(128815) ; OncoArray_ProstateCancer(99622) ; NIDDK METSIM(81967) ; NIGMS_LowLDL_EMR(80286) ; RPGEH(78494) ; Geneva(73428) ; NCI_TP_AACR_GENIE(69212) ; NIDDK TEDDY(65195) ; OncoArray_DRIVE(60231) ; EMMES_HMP(56215) ; MESA_SHARe(53878),,独立键(仅自身),提交/数据库管理,否
ENA-CHECKLIST,14295165,freetext/high-card,ENA checklist 登录号(ERCxxxxxx)，平台元数据，无对应,ERC000011(2475162) ; ERC000033(471067) ; ERC000050(234606) ; ERC000015(82745) ; ERC000013(61297) ; ERC000028(58474) ; ERC000022(53076) ; ERC000047(27112) ; ERC000014(27023) ; ERC000020(27007) ; ERC000024(23970) ; ERC000053(16370) ; ERC000040(15534) ; ERC000029(13389) ; ERC000025(13299),menarche,yes(436) ; Luteal(128) ; Follicular(98) ; 18(7) ; 13(6) ; 25(6) ; 12(6) ; 4(5) ; 24(4) ; 9(4) ; 20(4) ; 7(4) ; 22(4) ; 27(4) ; 11(4),,独立键(仅自身),提交/数据库管理,否
INSDC status,13776097,categorical,记录发布状态 public/suppressed，平台管理字段,public(3776410) ; suppressed(13611) ; killed(2609) ; temporary_suppressed(398),HIV status,,,独立键(仅自身),提交/数据库管理,否
INSDC last update,10370452,freetext/high-card,平台记录更新时间戳，记录日期簇,2022-05-19T17:40:14Z(805) ; 2022-05-26T09:42:43Z(546) ; 2013-11-04T20:06:05Z(529) ; 2022-05-26T09:30:46Z(494) ; 2013-11-04T20:05:50Z(283) ; 2013-11-04T20:05:37Z(235) ; 2018-08-14T12:59:24Z(171) ; 2018-08-14T12:59:25Z(171) ; 2016-10-21T09:39:09Z(162) ; 2018-08-14T12:59:23Z(162) ; 2016-10-21T09:36:16Z(161) ; 2023-06-13T16:39:57Z(158) ; 2023-06-13T16:39:56Z(156) ; 2018-03-08T15:24:43Z(155) ; 2016-10-21T09:36:13Z(155),date last rain,,,规范键(其他并入它),提交/数据库管理,否
External Id,10368571,freetext/high-card,SAMEA 外部登录号，平台id；弱可归 source material identifiers,SAMEA911901(1) ; SAMEA712817(1) ; SAMEA804023(1) ; SAMEA804024(1) ; SAMEA804025(1) ; SAMEA804019(1) ; SAMEA804020(1) ; SAMEA804021(1) ; SAMEA804022(1) ; SAMEA708831(1) ; SAMEA708835(1) ; SAMEA766053(1) ; SAMEA958493(1) ; SAMEA958494(1) ; SAMEA878301(1),maternal health status,,,独立键(仅自身),提交/数据库管理,否
INSDC first public,9474563,freetext/high-card,平台首次公开时间戳，记录日期簇,2016-08-24T17:07:51Z(3790) ; 2016-08-24T17:07:36Z(3510) ; 2018-01-25T17:04:53Z(3483) ; 2015-09-10T17:01:22Z(3479) ; 2016-11-15T17:05:04Z(3317) ; 2016-08-24T17:07:46Z(3307) ; 2015-09-10T17:01:23Z(3289) ; 2016-08-24T17:07:47Z(3275) ; 2016-09-22T17:01:28Z(3266) ; 2016-08-24T17:07:48Z(3260) ; 2016-08-24T17:07:35Z(3189) ; 2016-08-24T17:07:34Z(3073) ; 2016-08-24T17:07:52Z(3070) ; 2017-02-14T17:02:32Z(3000) ; 2016-08-24T17:07:49Z(2890),host pulse,not_collected(291) ; host_pulse(265) ; 60(118) ; 70(94) ; 78(71) ; 68(70) ; 62(68) ; 72(59) ; #N/B(59) ; 80(55) ; 0 bpm(54) ; 64(52) ; not_applicable(51) ; not measured(50) ; 74(38),,规范键(其他并入它),提交/数据库管理,否
ENA first public,9062191,freetext/high-card,平台首次公开时间戳，记录日期簇,2021-05-27(24671) ; 2021-07-15(24120) ; 2021-05-29(23885) ; 2021-01-11(22338) ; 2021-06-02(21776) ; 2021-01-25(21486) ; 2021-03-18(21328) ; 2016-08-24(20102) ; 2021-06-16(20039) ; 2021-07-02(18594) ; 2021-04-07(17773) ; 2021-06-01(16520) ; 2021-02-01(16180) ; 2021-06-08(16044) ; 2021-05-04(15687),host pulse,not_collected(291) ; host_pulse(265) ; 60(118) ; 70(94) ; 78(71) ; 68(70) ; 62(68) ; 72(59) ; #N/B(59) ; 80(55) ; 0 bpm(54) ; 64(52) ; not_applicable(51) ; not measured(50) ; 74(38),,合并→ INSDC first public,提交/数据库管理,否
scientific_name,8972534,freetext/high-card,值=物种学名，归顶层 organism 字段,Homo sapiens(189044) ; Mus musculus(145073) ; Severe acute respiratory syndrome coronavirus 2(99867) ; human gut metagenome(72029) ; Hordeum vulgare subsp. vulgare(64801) ; marine metagenome(64370) ; metagenome(63394) ; Streptococcus pneumoniae(63179) ; gut metagenome(46766) ; Plasmodium falciparum(44574) ; Escherichia coli(38207) ; Staphylococcus aureus(33310) ; synthetic construct(31043) ; soil metagenome(29943) ; Saccharomyces cerevisiae(27644),infra specific name,Hordeum vulgare L. convar. vulgare var. hybernum Viborg(4803) ; Hordeum vulgare L. convar. distichon (L.) Alef. var. nutans (Rode) Alef.(2987) ; vulgare(988) ; Hordeum vulgare L.(533) ; Hordeum vulgare L. convar. vulgare var. coeleste L.(486) ; Hordeum vulgare L. convar. deficiens (Steud.) Mansf. var. deficiens (Steud.) Kérn.(390) ; Hordeum spontaneum K.Koch(384) ; Hordeum spontaneum K.Koch var. spontaneum(376) ; Hordeum vulgare L. convar. vulgare var. densum Sér.(360) ; Hordeum vulgare L. convar. vulgare var. parallelum Kérn.(304) ; Hordeum vulgare L. convar. vulgare var. himalayense (Rittig) Kérn.(216) ; Hordeum vulgare L. convar. distichon (L.) Alef. var. erectum (Rode) Alef.(214) ; Hordeum vulgare L. convar. vulgare var. subviolaceum Kérn.(192) ; Hordeum vulgare L. convar. vulgare var. nigripallidum Regel(181) ; Hordeum vulgare L. convar. vulgare var. rikotense Regel(155),,独立键(仅自身),样本来源/材料,是
INSDC center alias,6865361,freetext/high-card,机构别名，同 INSDC center name,"SC(619507) ; Robert Koch Institute(121176) ; UCSDMI(111896) ; Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit(31986) ; Respiratory Virus Unit, Microbiology Services Colindale, Public Health England(27082) ; ETH ZURICH D-BSSE(26260) ; NVRL(19032) ; IBV-CSIC(18790) ; Wellcome Sanger Institute(15187) ; IPK-Gatersleben(14814) ; Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust(14468) ; CCME-COLORADO(13462) ; BCM(13364) ; Quadram Institute Bioscience(12858) ; Liverpool Clinical Laboratories(12495)",isolate name alias,1(64) ; 2(21) ; 8(19) ; 17(19) ; 5(18) ; 27(16) ; 25(13) ; 4(13) ; 9(9) ; 23(8) ; 58(8) ; 7(8) ; 22(7) ; 14(7) ; 10(7),,独立键(仅自身),提交/数据库管理,否
