rank,residual_name,freq,cumulative_pct,type,residual_values(top15),cand1_ref,cand1_values,宏基因组相关,合并到(据字典),饼图分类,通用(meta-analysis),reason
1,geo_loc_name,24014252,2.8202,,,geographic location,,,合并→ geographic location,Geography,是,
2,collection_date,23697702,5.6032,,2017(155724) ; 2016(154447) ; 2018(137197) ; 2015(135538) ; 2014(109665) ; 2019(92684) ; 2013(91439) ; 2012(69730) ; 2020(56084) ; 2011(44976) ; 2010(41268) ; 2009(29281) ; 2008(24953) ; 2017-07(20458) ; 2017-06(18700),collection date,2017(155724) ; 2016(154447) ; 2018(137197) ; 2015(135538) ; 2014(109665) ; 2019(92684) ; 2013(91439) ; 2012(69730) ; 2020(56084) ; 2011(44976) ; 2010(41268) ; 2009(29281) ; 2008(24953) ; 2017-07(20458) ; 2017-06(18700),,规范键(其他并入它),Time,是,
3,isolation_source,16915243,7.5896,,human gut(210860) ; feces(144921) ; stool(130999) ; human(117253) ; soil(104511) ; blood(61923) ; sputum(45943) ; nasal(44995) ; clinical(29319) ; urine(25803) ; cattle rumen(25508) ; sterile site(24177) ; water(23279) ; nasopharyngeal swab(20991) ; seawater(18528),isolation source,human gut(210860) ; feces(144921) ; stool(130999) ; human(117253) ; soil(104511) ; blood(61923) ; sputum(45943) ; nasal(44995) ; clinical(29319) ; urine(25803) ; cattle rumen(25508) ; sterile site(24177) ; water(23279) ; nasopharyngeal swab(20991) ; seawater(18528),,规范键(其他并入它),Sample,是,
4,isolate,14926099,9.3425,,1(7440) ; RNA(7354) ; patient(4977) ; cell line(2851) ; 2(2286) ; DNA(2187) ; Human(2104) ; 3(1911) ; soil(1837) ; human(1810) ; blood(1753) ; 3D7(1707) ; HEK293(1545) ; 4(1438) ; Hek293(1437),isolate,1(7440) ; RNA(7354) ; patient(4977) ; cell line(2851) ; 2(2286) ; DNA(2187) ; Human(2104) ; 3(1911) ; soil(1837) ; human(1810) ; blood(1753) ; 3D7(1707) ; HEK293(1545) ; 4(1438) ; Hek293(1437),,规范键(其他并入它),Sample,是,
5,sample name,14532563,11.0492,,1(1103) ; 3(731) ; 4(694) ; 5(642) ; 6(613) ; 7(589) ; 8(580) ; 10(555) ; 11(545) ; 14(469) ; 16(467) ; 15(466) ; 18(444) ; 19(425) ; 23(392),sample name,1(1103) ; 3(731) ; 4(694) ; 5(642) ; 6(613) ; 7(589) ; 8(580) ; 10(555) ; 11(545) ; 14(469) ; 16(467) ; 15(466) ; 18(444) ; 19(425) ; 23(392),,规范键(其他并入它),Admin,否,
6,INSDC center name,14431765,12.744,freetext/high-card,"Wellcome Sanger Institute(656032) ; SC(585345) ; Robert Koch Institute(121803) ; University of California San Diego Microbiome Initiative(111896) ; UCSDMI(110620) ; EBI(94836) ; EMG(94730) ; IPK-Gatersleben(71134) ; PANGAEA Data Publisher for Earth and Environmental Science(60705) ; THE ROSLIN INSTITUTE(41317) ; Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit(38537) ; ETH ZURICH D-BSSE(29083) ; KI-BN(29058) ; Respiratory Virus Unit, Microbiology Services Colindale, Public Health England(28057) ; Pan Lab at OU(21536)",INSDC center name,,,独立键(仅自身),Admin,否,
7,Submitter Id,14376720,14.4324,freetext/high-card,1(1036) ; 3(672) ; 4(633) ; 7(539) ; 8(526) ; 10(502) ; 11(493) ; 16(426) ; 15(423) ; 18(403) ; 19(387) ; 27(331) ; 29(320) ; 28(319) ; 30(319),Submitter Id,,,独立键(仅自身),Admin,否,
8,ENA-CHECKLIST,14295165,16.1112,freetext/high-card,ERC000011(2475162) ; ERC000033(471067) ; ERC000050(234606) ; ERC000015(82745) ; ERC000013(61297) ; ERC000028(58474) ; ERC000022(53076) ; ERC000047(27112) ; ERC000014(27023) ; ERC000020(27007) ; ERC000024(23970) ; ERC000053(16370) ; ERC000040(15534) ; ERC000029(13389) ; ERC000025(13299),ENA-CHECKLIST,,,独立键(仅自身),Admin,否,
9,host,14042343,17.7603,,Homo sapiens(2628029) ; Mus musculus(128480) ; Bos taurus(38078) ; Sus scrofa(34159) ; Gallus gallus(23804) ; soil(19294) ; Canis lupus familiaris(16499) ; Bovine(15561) ; Arabidopsis thaliana(14964) ; Papio cynocephalus(14851) ; mouse(14192) ; Zea mays(12248) ; Sus scrofa domesticus(11825) ; Gallus gallus domesticus(11180) ; pig(10974),host,Homo sapiens(2628029) ; Mus musculus(128480) ; Bos taurus(38078) ; Sus scrofa(34159) ; Gallus gallus(23804) ; soil(19294) ; Canis lupus familiaris(16499) ; Bovine(15561) ; Arabidopsis thaliana(14964) ; Papio cynocephalus(14851) ; mouse(14192) ; Zea mays(12248) ; Sus scrofa domesticus(11825) ; Gallus gallus domesticus(11180) ; pig(10974),,规范键(其他并入它),Host,是,
10,INSDC status,13776097,19.3781,categorical,public(3776410) ; suppressed(13611) ; killed(2609) ; temporary_suppressed(398),INSDC status,,,独立键(仅自身),Admin,否,
