char_fp,freq
geolocname,24014252
collectiondate,23697702
isolationsource,16915243
isolate,14926099
samplename,14532563
host,14042343
studyname,13200391
gapaccession,13199605
gapsampleid,13199575
gapsubjectid,13199575
biospecimenrepository,13199145
submitterhandle,13199145
submittedsampleid,13199123
submittedsubjectid,13199117
biospecimenrepositorysampleid,13199115
sex,13064536
latlon,13048975
studydesign,12495997
geographiclocationcountryandorsea,12173524
gapconsentcode,11220611
gapconsentshortname,11087799
insdclastupdate,10370452
insdcfirstpublic,9474563
enafirstpublic,9062191
tissue,8421374
analytetype,8091083
collectedby,8082296
strain,7444330
bodysite,6846076
hostdisease,6268850
age,5992413
hostscientificname,5980641
geographiclocationregionandlocality,5804997
sourcename,5692438
istumor,5231623
enalastupdate,5229723
samplecapturestatus,5229662
hostsubjectid,4777602
hosthealthstate,4704462
hostcommonname,4670286
hostsex,4545958
geographiclocationlongitude,4454015
geographiclocationlatitude,4453534
projectname,4357432
envbroadscale,3952427
envmedium,3888006
envlocalscale,3887892
subjectisaffected,3318585
histologicaltype,3289371
hostage,3222173
devstage,2998784
environmentalmedium,2919943
broadscaleenvironmentalcontext,2919602
samplederivedfrom,2914227
localenvironmentalcontext,2882079
purposeofsequencing,2826657
metagenomicsource,2806766
assemblysoftware,2744402
binningsoftware,2733555
binningparameters,2733447
sampletype,2680175
treatment,2678466
completenessscore,2658848
completenesssoftware,2652741
assemblyquality,2628046
contaminationscore,2616295
taxonomicidentitymarker,2602094
biomaterialprovider,2468961
moleculardatatype,2461150
collectionmethod,2337778
genotype,2326099
cultivar,2282241
celltype,2243758
collectiondevice,2146295
ecotype,2080472
sequencingmethod,2067162
diagnosticpcrprotocol1,2036700
hostrace,2008438
investigationtype,1986620
depth,1694082
sequencedby,1621432
studydisease,1520662
diagnosticpcrprotocol2,1511863
diagnosticpcrprotocol3,1511863
diagnosticgenename3,1511786
diagnosticpcrctvalue3,1511761
breed,1354682
serotyperequiredforaseropositivesample,1265863
taxonomicclassification,1211301
sourcematerialid,1168630
magcoveragesoftware,1153584
environmentbiome,1076494
cellline,1068965
environmentfeature,1067760
serovar,1050189
environmentmaterial,1042375
numberofcontigs,1019474
gisaidvirusname,1007375
organismpart,1002488
isolgrowthcondt,980312
gender,842901
elev,809119
sourcetype,785826
purposeofsampling,781732
isolatenamealias,751278
envmaterial,742966
sampcollectdevice,724780
disease,670416
envbiome,665061
developmentalstage,665002
gisaidaccession,601945
specimenvoucher,583610
envfeature,575819
sampsize,558334
refbiomaterial,552444
sampmatprocess,548924
metagenomesource,520220
elevation,462395
identifiedby,402653
hostdescription,391182
phenotype,385008
hosttissuesampled,376758
numreplicons,368983
derivedfrom,365787
temp,358836
longitude,346186
latitude,345872
diseasestate,319869
altitude,315895
reltooxygen,294870
population,294132
hosttaxid,279773
ethnicity,277671
gisaidaccessionid,258877
bodyproduct,256019
geographiclocationelevation,250661
anatomicalpart,234758
country,228444
lifestage,227787
hostbodyproduct,227187
wwsampleduration,225405
wwsamplematrix,225381
wwsampletype,225381
wwpopulation,225376
foodorigin,225259
wwsurvtarget1,225091
wwsurvtarget1knownpresent,225078
timepoint,222481
sampledescription,221967
serotype,219706
ploidy,209070
envpackage,207799
sequencetype,207124
hostlifestage,206243
culturecollection,206201
chipantibody,204801
purposeofwwsampling,201832
targetgene,200865
hostgenotype,194417
diseasestage,193206
wwsamplesite,187608
estimatedsize,186406
sampstoretemp,179917
wwsurvsystemsampleid,178114
samplecollectiondeviceormethod,164634
race,164312
ph,163239
healthstate,160361
wwsurvtarget1gene,157326
storecond,156435
miscparam,156357
chemadministration,156211
wwsurvjurisdiction,155830
material,155266
wwsurvtarget1concunit,154719
propagation,154103
tissuetype,149630
hostbodyhabitat,149564
hostdiet,149165
geographiclocation,146434
hostbodysite,142084
wwsurvtarget1conc,137908
growthprotocol,137434
hostheight,134868
hostbodymassindex,133331
description,132406
genotypevariation,123471
passagehistory,121587
biome,121070
hostphenotype,118155
